minnepinne	mojhtessaegkie
dataoverføring	daataseedteme
naturreservat	vaarjelimmietjahta
rengjøringsassistent	sjïekedæjja	sjeakoje
personalrom	barkijetjïehtjele
skyllerom	skuvlemestjïehtjele
helsesøster	skïemtjesåjhtere
allemannseie	gaajhkesieeke
Høyesterett	Jollemesreakta
beskrivelse	buerkiestimmie
arbeidsgiver	barkoefaalije
arbeidstaker	barkije
Reindriftsloven	Båatsoelaake
bergart	bïerjeaarhte
bosetningsområde	årromedajve
gjødsel	skorresje
dampmaskin	roehkenassemaskijne
vogn	våågne
grunnleggende	maadthvåarome
kvittering	vihtiesleahpa
lønnsmottaker	baalhkadåastoje
reklame	reklaame
svømmehall	voejedimssavka	 voejedimmessavka
personale	barkijh
melodi	musihke
albue	gernjere
datamaskin	daatovre
fagforening	faagesiebrie
kommunikasjon	gaskesadteme
rettssikkerhet	reaktatjirkeme
utstilling	vuesiehtimmie
naturminne	eatnememojhtese
selvbilde	jïjtjeguvvie
elvebunn	jeanoenbetnie
jordmor	tsegkietnie
kjøretøy	vuajahtahke
nettleser	weblohkije	 viermielohkije
folkerett	åålmehreakta
dagsorden	biejjieöörnege
debatt	digkiedimmie
gymnastikksal	vïtnedimmessavka
minister	ministeere
valgresultat	veeljemenilleldahke
talerstol	håalomestovle
foto	tjoevkeguvvie
Utenriksdepartementet	Ålkoerïjhkedepratemeente
annonsekostnad	bïevnese-åasa
President	Presideente
bidrag	dåarjoe
bokmerke	gærjamïerhke
småbarnsmor	tjidtjie
bukser	måvhkah
tøffler	låapoehgaamegh
sklie	gierese
hand	gïete
rosa	råvsa
badekar	laavkome-lihtie
billedkunst	guvvietjeahpoe
bilkolonne	bïjleraajroe
bokanmeldelse	gærjahsaernie
betalingsplan	maaksoesoejkesje
befolkningsgruppe	almehtjïerte
diplomati	diplomatije
dokumentvisning	tjaatsestimmie-nomme
driftstilskudd	gïehtelimmesdåarjoe
etableringsstipend	aalkoedåarjoe
EU	EE
fremmedord	ammesbaakoe
fremmedordbok	ammesbaakoegærja
grunnfag	maadthfaage
grunnfagsstudium	maadthfaage-lohkeme
halvårsenhet	bieliejaepieboelhke
halvtime	bielietæjmoe
helseforetak	starneråajvarimmie
ILO-konvensjonen	ILO-konvensjovne
infobank	bïevnesbaanghke
inntektsgrunnlag	dïenesjimmie
jobbintervju	barkoegoerehtse
jordklode	eatneme
kalender	biejjielåhkoe
kino	kinove
kommuneordfører	tjïelten åejvie
kultursenter	kultuvrejarnge
kunstner	tjiehpiedæjja
kvote	veahka
læringsnett	ööhpehtimmienedte
læringssenter	lohkehtimmiejarnge
lønnstrinn	baalhkatsiehkie
mappesystem	maabpesysteme
matbutikk	beapmoebovre
mediaklipp	meedija-bietskh
nettvettregler	nedtevihte njoelkedassh
notat	notaate
månedsmagasin	askeplaerie
næringsgruppe	jieliemassedåehkie
næringsoppgave	jielemesbïevnese
oppvekstsjef	byjjenimmie-åejvie
